,Name,MRN,Legal gender,Date of Visit,Telephone,SSN,Doctors Name,patients_adress,Doctors Address,Health Plan Number,Test Results,Billing Account Number,RN,Admission Type,Language spoken,Date of Discharge,DOB,Email,Marital status,Contact Person Name,Language written
0,Brandy Chapman,3236702552,female,2025-06-05,+1719-766-5417,158-12-9148,Jessica Escobar,"9761 Black Estate Apt. 640 Randallview, GA 18345","867 Sabrina Forges Suite 817 Pooleton, GA 21892",HPB-63251,Abnormal,#366584,Anna Duffy,Emergency,English,2025-6-5,2002-06-12,Brandy.Chapman@yahoo.com,Single,Nicole Wilson (girlfriend),
1,Monica Clark,6239203878,female,2025-05-19,+1216-750-9651,381-47-5877,Emily Rogers,"PSC 1633, Box 7560 APO AP 75859","2936 Carter Shoals Rileymouth, IL 19221",HPB-62240,Normal,#600883,Douglas Williams,Emergency,English,2025-5-19,1967-05-19,Monica.Clark@web.com,Single,Stacey Vasquez (fiancee),
2,Ashley Davis,7204525845,female,2025-06-24,+1928-367-9609,968-31-1175,Carly Rodriguez,"96684 Williams Meadow Suite 210 New Thomas, WY 01766","720 John Lane Apt. 197 Morrowside, UT 44547",HPB-97610,Normal,#578860,Brandy Cuevas,Urgent,English,2025-6-24,2005-06-09,Ashley.Davis@gmail.com,Single,Cynthia Hayes (girlfriend),
3,Mary Burton,3222342193,female,2025-06-22,+1815-201-1356,788-29-4149,Linda Martin,"90955 Galloway Fork Silvaside, IN 09330","4549 Blevins Cape Suite 687 South Grantberg, GA 91773",HPB-64998,Abnormal,#716457,Kathleen Brown,Elective,English,2025-6-22,1963-06-12,Mary.Burton@aol.com,Single,Mary Olson (girlfriend),
4,Sophia Day,7557805322,female,2025-05-23,+1828-741-8726,791-47-8507,John Leonard,"2600 Roy Corners Apt. 298 North Mckenzie, IA 15935","443 Lauren Islands Apt. 087 East William, SD 11561",HPB-28072,Normal,#354298,Christopher Barnes,Emergency,English,2025-6-1,1979-04-10,Sophia.Day@web.com,Single,Diane Garcia (fiancee),
5,Mark Villa,2760459468,male,2025-06-17,+1620-327-3253,879-29-4735,Emily Lucero,"187 Gregory Circles Apt. 477 Elizabethmouth, UT 38892","357 Austin Islands Suite 421 Juliebury, HI 45071",HPB-62673,Abnormal,#758845,Lisa Miller,Urgent,English,2025-6-17,2024-01-29,Mark.Villa@brown.com,Single,"Melvin Villa (father), Andrea Villa (mother)",
6,John Williams,1552533332,male,2025-05-22,+1747-976-1412,453-37-9758,Michael Villarreal,"4714 Jennifer Estate Jenniferchester, RI 53034","166 Jesus Landing Lake Kristinmouth, TX 96545",HPB-98216,Normal,#901042,Kathleen Jimenez,Emergency,English,2025-6-4,2002-03-13,John.Williams@web.com,Single,Jody Thompson (friend),
7,Brittany Maxwell,8357176620,female,2025-06-14,+1252-898-3029,617-84-9635,Melinda Bennett,"6159 Lara Stravenue Apt. 443 Port Catherine, AR 63101",Unit 0429 Box 1857 DPO AA 63523,HPB-20283,Abnormal,#343386,Stephen Good,Emergency,English,2025-6-14,1963-01-18,Brittany.Maxwell@web.com,Single,Rachel Martinez (friend),
8,Steven Jacobs,7834659741,male,2025-04-10,+1305-241-7358,206-57-8488,William Perez,"7809 Parker Parkway Suite 801 South Keith, OR 18707","8837 Susan Estate Port Theresa, NV 89259",HPB-65985,Normal,#586087,Barry Stout,Urgent,English,2025-4-10,1957-04-28,Steven.Jacobs@gmail.com,Single,Elizabeth Wilson (girlfriend),
9,Adam Miller,6940103640,male,2025-06-12,+1212-668-7177,722-23-1199,Angela Brown,"705 Moore Plains Apt. 251 Port Lance, UT 52069","186 Medina Square Apt. 148 Lunaland, FM 17763",HPB-78794,Normal,#338459,Kelsey Jones,Urgent,English,2025-6-12,1949-01-03,Adam.Miller@gmail.com,Single,Krystal Johnson (fiancee),
10,Jordan Lyons,4272028867,male,2025-06-03,+1727-649-8958,887-99-5420,Mike Murphy,"97934 Edgar Villages Suite 481 Amyton, FM 79410","0621 Green Rest Ariasmouth, KY 14251",HPB-12923,Normal,#594419,Kevin Lopez,Elective,English,2025-6-3,1957-06-13,Jordan.Lyons@gmail.com,Single,Stephanie Blanchard (fiancee),
11,Robert Guzman,6858382757,male,2025-05-09,+1806-834-6554,110-92-3445,William Shepard,"285 Angela Lights Suite 519 Amandafurt, MA 53201","42624 Perez Lodge Apt. 847 West Anthony, AZ 30087",HPB-91087,Inconclusive,#611746,Raymond Burton,Urgent,English,2025-5-9,1989-04-16,Robert.Guzman@gmx.com,Single,Debra Fernandez (girlfriend),
12,Timothy Ramirez,2212954610,male,2025-04-27,+1201-202-5541,574-41-5675,Robert Mack,"9906 Stevens Loaf Suite 855 Elijahburgh, SC 83639","8590 Glover Route Apt. 942 South Caleb, SD 93845",HPB-67956,Normal,#198715,Pamela Jones,Elective,English,2025-5-8,1956-04-06,Timothy.Ramirez@dhl.com,Single,Dana Walker (friend),
13,Mary Johnson,7977312576,female,2025-06-15,+1217-190-4652,910-73-8326,Lisa Walker,"176 Brandy Point Michaelview, OK 59410","54849 Whitehead Canyon East Julie, PW 80851",HPB-35055,Abnormal,#687183,Jennifer Reed,Urgent,English,2025-6-15,1973-04-26,Mary.Johnson@gmx.com,Single,Brandi Davidson (girlfriend),
14,Melanie Galvan,7074155517,female,2025-06-20,+1209-906-5947,223-27-2512,Joshua Ray,"88159 Kaitlin Brook Singhshire, WI 13999","2174 Nathaniel Fort Ashleyside, TX 12075",HPB-10163,Normal,#227898,James Martin,Urgent,English,2025-6-20,1983-01-06,Melanie.Galvan@gmail.com,Single,Barbara Hoffman (friend),
15,Kathleen Campbell,6511656664,female,2025-05-19,+1612-967-4747,102-57-3429,Anne Freeman,"47707 Smith Wells Port Matthewhaven, IL 97580","1957 Terri Lights Port Dominique, NE 46844",HPB-24138,Abnormal,#335840,Raymond Johnson,Elective,English,2025-5-19,1977-05-15,Kathleen.Campbell@web.com,Single,Linda Howard (fiancee),
16,Michael Mathis,9967399448,male,2025-06-18,+1708-463-5667,323-61-2433,William Meadows,"624 Marcus Port Apt. 737 Chadfort, DE 79374","9033 Campbell Mission Apt. 969 Williamsfurt, FL 88944",HPB-82999,Normal,#147326,Kelly King,Elective,English,2025-6-18,1972-05-29,Michael.Mathis@gmail.com,Single,Sharon Scott (friend),
17,Cassidy Allen,8229346730,female,2025-07-01,+1405-319-6246,844-24-3484,Bonnie Warren,"21767 Cameron Lane Apt. 926 Thompsonberg, PR 80964","1133 West Estates East Zacharyshire, UT 54901",HPB-63163,Abnormal,#675948,Mark Garner,Emergency,English,2025-7-1,2020-02-19,Cassidy.Allen@gmail.com,Single,"Timothy Allen (father), Melinda Allen (mother)",
