,Name,Unnamed: 0,MRN,Legal gender,DOB,Telephone,SSN,Doctors Name,patients_adress,Doctors Address,Health Plan Number,Date of Visit,Admission Type,Test Results,Billing Account Number,RN,Language spoken,Language written,Email,Marital status,symptoms,Contact Person Name,Date of Discharge
0,Juan Bell,0,4170279658,Male,2024-03-27,+1215-607-1956,118-62-1131,Ashley Mccarthy,"8017 Ryan Plains North Karen, IN 20195","2989 Galloway Street Yolandafurt, CT 95611",HPB-98363,2025-06-26,Urgent,Normal,,Brian George,English,Spanish,Juan.Bell@gmx.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Zachary Bell (father), David Bell (mother)",
1,Ashley Munoz,1,8782157908,Female,1967-03-26,+1878-779-7051,218-12-4739,Matthew Martin,"162 Jerome Ramp Apt. 743 North Jonathan, SD 26362","41141 Kristin Plains Apt. 206 West Tony, GA 19451",HPB-94457,2023-05-23,Urgent,Normal,#300641,Dominic Kelly,English,,Ashley.Munoz@brown.com,Married,fatigue,Anthony Stokes (girlfriend),2023-06-05
2,Paul Aguilar,2,9610857836,Male,1960-01-15,+1234-700-9754,223-55-4466,Brian Hinton,"8140 Hill Freeway Suite 528 Barbaramouth, TN 33442","04819 Melissa Walks Port Whitneybury, NH 68990",HPB-10393,2019-10-21,Elective,Normal,#781458,Connie Alvarez,English,,Paul.Aguilar@gmail.com,Divorced,cough,Seth Jackson (girlfriend),2019-11-19
3,April Osborn,3,6020232136,Female,1969-03-19,+1212-898-9615,298-74-1656,Denise Middleton,"3167 Pacheco Key Suite 400 North Daniel, GA 04497","26060 Rowe Ranch Apt. 606 Griffithmouth, IL 35264",HPB-46926,2021-08-12,Elective,Inconclusive,#780559,Eric Anderson,German,English,April.Osborn@gmx.com,Widowed,"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever",Karen Manning (girlfriend),2021-08-31
4,Louis Brown,4,3065750954,Male,1960-03-29,+1516-611-9659,922-61-5804,Ryan Washington,"9063 Debra Squares Apt. 711 West Johnny, IA 90054","9067 Davis Dale Suite 977 Port Lacey, OR 34559",HPB-65409,2022-01-02,Urgent,Inconclusive,#169225,Michelle Dennis,English,,Louis.Brown@web.com,Single,"fever, cough and fatigue",Haley Ray (friend),2022-01-21
5,Shelley Rush,5,6346589096,Female,1956-03-30,+1212-405-4822,580-80-4398,Shannon Avery,"3285 Brittany Junctions Suite 888 Jenkinsview, OR 60810","06639 Parsons Green East Jacob, NY 05216",HPB-67954,2020-11-19,Elective,Inconclusive,#709509,Ricky Ramos,Russian,English,Shelley.Rush@web.com,Single,"Cough, fever, chest pain, difficulty breathing",Michelle Brown (friend),2020-11-24
6,Daisy Reyes,6,4782175444,Female,2020-01-25,+1580-660-1482,656-46-2677,Robert Lewis,"9491 Mason Light Suite 806 Andradeton, LA 27004","044 Rachael Shore Clementsport, FL 39070",HPB-18975,2025-02-22,Emergency,Abnormal,,Nicholas Lewis,English,,Daisy.Reyes@gmx.com,Single,"Shaking, dizziness, confusion, sweating","Eric Reyes (father), Michelle Reyes (mother)",
7,Elizabeth Garner,7,9428433378,Female,1998-05-01,+1607-514-1730,193-32-5054,Darren Smith,"87247 Tammie Ford Suite 675 Lopezchester, NC 73854","7718 Christopher Springs Apt. 364 North Karenport, NC 39523",HPB-68152,2024-01-19,Elective,Normal,#688755,William Rollins,English,,Elizabeth.Garner@web.com,Married,"High fever, body aches, fatigue, cough, sore throat, congestion",Leah Williams (girlfriend),2024-01-31
8,Dana Jordan,8,5196914803,Female,1987-02-11,+1409-874-8104,521-92-6071,Thomas Ortiz,"6229 Bell Extension Suite 012 New Richardberg, PR 38111","9941 Jacob Forge Suite 067 Ericstad, PW 86117",HPB-19154,2020-07-23,Elective,Inconclusive,#746812,Stephen Martinez,English,,Dana.Jordan@gmail.com,Divorced,fatigue,Latasha Solis (fiancee),2020-08-18
9,Jennifer Shepard,9,8623858972,Female,1966-09-13,+1785-127-3822,437-44-7394,Nancy Campbell,"640 Brittany Squares Suite 166 Erikmouth, PW 69072","2280 Christopher Branch Apt. 195 Port Bradley, DE 58044",HPB-91085,2021-12-02,Emergency,Inconclusive,#212279,Sabrina Bates,English,,Jennifer.Shepard@gmx.com,Married,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Brandon Boyle (friend),2021-12-21
