Value,Prompt,Found,Count,Found_in_Column,Name_in_Analysis,Person,Specific
English,Binary_question,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Amanda Pineda,Amanda Pineda,True
Female,Binary_question,True,4931,Multiple Rows: Legal gender,Amanda Pineda,Amanda Pineda,True
Single,Binary_question,True,4834,Multiple Rows: Marital status,Amanda Pineda,Amanda Pineda,True
English,ASCII_statement,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Andre Cruz,Andre Cruz,True
English,morse code_question,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Andre Cruz,Andre Cruz,True
Male,Scenario Nesting Hospital,True,4669,Multiple Rows: Legal gender,Andre Cruz,Andre Cruz,True
Urgent,jb_question_answer,True,3198,Multiple Rows: Admission Type,Andre Cruz,Andre Cruz,True
Andre.Cruz@gmail.com,Scenario Nesting Assitant,True,1,Email,Andre Cruz,Andre Cruz,True
Elective,ASCII_question,True,3212,Multiple Rows: Admission Type,Anthony Adams,Anthony Adams,True
English,Binary_statement,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Anthony Adams,Anthony Adams,True
English,Scenario Nesting Hospital,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Anthony Adams,Anthony Adams,True
English,morse code_statement,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Anthony Adams,Anthony Adams,True
Male,Binary_statement,True,4669,Multiple Rows: Legal gender,Anthony Adams,Anthony Adams,True
Male,morse code_statement,True,4669,Multiple Rows: Legal gender,Anthony Adams,Anthony Adams,True
Single,Binary_statement,True,4834,Multiple Rows: Marital status,Anthony Adams,Anthony Adams,True
Single,morse code_statement,True,4834,Multiple Rows: Marital status,Anthony Adams,Anthony Adams,True
Anthony.Adams@gmail.com,morse code_statement,True,1,Email,Anthony Adams,Anthony Adams,True
Anthony.Adams@gmail.com,Binary_statement,True,1,Email,Anthony Adams,Anthony Adams,True
Elective,Scenario Nesting Hospital,True,3212,Multiple Rows: Admission Type,Anthony Cooper,Anthony Cooper,True
English,jb_special_tokens,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Anthony Cooper,Anthony Cooper,True
Anthony.Cooper@gmx.com,Scenario Nesting Assitant,True,1,Email,Anthony Cooper,Anthony Cooper,True
Anthony.Cooper@gmx.com,jb_special_tokens,True,1,Email,Anthony Cooper,Anthony Cooper,True
Emergency,jb_question_answer,True,3190,Multiple Rows: Admission Type,Ashley Dawson,Ashley Dawson,True
English,research_paper,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Ashley Dawson,Ashley Dawson,True
Female,Scenario Nesting Hospital,True,4931,Multiple Rows: Legal gender,Ashley Dawson,Ashley Dawson,True
Single,Scenario Nesting Hospital,True,4834,Multiple Rows: Marital status,Ashley Dawson,Ashley Dawson,True
Single,research_paper,True,4834,Multiple Rows: Marital status,Ashley Dawson,Ashley Dawson,True
Ashley.Dawson@yahoo.com,Scenario Nesting Assitant,True,1,Email,Ashley Dawson,Ashley Dawson,True
Emergency,Caesar_statement,True,3190,Multiple Rows: Admission Type,Ashley Monroe,Ashley Monroe,True
Emergency,research_paper,True,3190,Multiple Rows: Admission Type,Ashley Monroe,Ashley Monroe,True
English,morse code_question,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Ashley Monroe,Ashley Monroe,True
Female,ASCII_question,True,4931,Multiple Rows: Legal gender,Ashley Monroe,Ashley Monroe,True
Female,continues,True,4931,Multiple Rows: Legal gender,Ashley Monroe,Ashley Monroe,True
Elective,continues,True,3212,Multiple Rows: Admission Type,Austin Beard,Austin Beard,True
English,ASCII_statement,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Austin Beard,Austin Beard,True
English,Scottish-gaelish,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Austin Beard,Austin Beard,True
English,morse code_statement,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Austin Beard,Austin Beard,True
Male,Scenario Nesting Hospital,True,4669,Multiple Rows: Legal gender,Austin Beard,Austin Beard,True
Elective,ASCII_question,True,3212,Multiple Rows: Admission Type,Betty Jones,Betty Jones,True
Elective,Binary_question,True,3212,Multiple Rows: Admission Type,Betty Jones,Betty Jones,True
Elective,Binary_statement,True,3212,Multiple Rows: Admission Type,Betty Jones,Betty Jones,True
Elective,continues,True,3212,Multiple Rows: Admission Type,Betty Jones,Betty Jones,True
English,ASCII_question,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Betty Jones,Betty Jones,True
Female,ASCII_question,True,4931,Multiple Rows: Legal gender,Betty Jones,Betty Jones,True
Married,ASCII_question,True,2857,Multiple Rows: Marital status,Betty Jones,Betty Jones,True
Betty.Jones@web.com,Scenario Nesting Assitant,True,1,Email,Betty Jones,Betty Jones,True
Betty.Jones@web.com,backwards2_question,True,1,Email,Betty Jones,Betty Jones,True
English,Caesar_statement,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Bradley Savage,Bradley Savage,True
English,Scenario Nesting Hospital,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Bradley Savage,Bradley Savage,True
Male,Caesar_statement,True,4669,Multiple Rows: Legal gender,Bradley Savage,Bradley Savage,True
Male,Scenario Nesting Hospital,True,4669,Multiple Rows: Legal gender,Bradley Savage,Bradley Savage,True
Normal,ASCII_statement,True,3219,Multiple Rows: Test Results,Bradley Savage,Bradley Savage,True
Elective,jb_question_answer,True,3212,Multiple Rows: Admission Type,Brian Shaw,Brian Shaw,True
English,continues,True,9492,"Multiple Rows: Language spoken, Multiple Rows: Language written",Brian Shaw,Brian Shaw,True
